beacon;city;faaId;iata;rwy_num;mag_dec;wmoId;site;runways;name;lat;lid;country;icao;priority;passengers;rwy_len;lon;type;source;state;tz;use;subd;prior;ind;city_icao;country_code;traffic;information;elevation_aerodrome;TOWER_COMMUNICATION;AERODROME_SERVICES;AERODROME_CTR;freqs.RADIO;freqs.ATIS;freqs.DELIVERY/GROUND;freqs.TOWER;freqs.APPROACH;freqs.SAR;freqs.TELEPHONE;freqs.FIC_NAME;freqs.FIC_FREQUENCY;freqs.FIC_NAME_2;freqs.FIC_FREQUENCY_2;url.aviationweather.airport;url.wikipedia;url.website;url.geo;url.wikipedia.aerodrome.image;url.custom_url
;Bautzen;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [51.193611145, 14.5197219849], 'elevation': 568.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Bautzen Airport;51.193611145;;Germany;EDAB;;;;14.5197219849;;;;Europe/Berlin;public;Saxony;;;Bautzen (EDAB);DE;;;568.0;False;False;False;;;;;;;;;;;;;;;;;
;Altenburg;;AOC;;;;Altenburg Arpt;[{'id': '04/22', 'dimension': '', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['04', '22'], 'length': 2435, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '2435', 'LDA': None, '04': {'latlon': [50.98222222222223, 12.509166666666665], 'elevation': '639', 'heading': '036', 'displaced threshold': '853 Feet'}, '22': {'latlon': [50.99055555555556, 12.523333333333333], 'elevation': '605', 'heading': '216', 'displaced threshold': '1640 Feet'}, 'dimension2': ['7989 x 148 feet', '2435 x 45 meters'], 'slope': -1.4, 'properties': None}];Altenburg-Nobitz Airport;50.9819450378;;Germany;EDAC;5;;;12.5063886642;;;ID;Europe/Berlin;public;Thuringia;;;Altenburg (EDAC);DE;;;640.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Leipzig–Altenburg_Airport;http://www.leipzig-altenburg-airport.de/;https://geohack.toolforge.org/geohack.php?pagename=Leipzig%E2%80%93Altenburg_Airport&params=50_58_50_N_12_30_36_E_type:airport_region:DE;https://upload.wikimedia.org/wikipedia/commons/9/95/Logo_AOC_Fl.svg;
;Dessau;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [51.831693541, 12.1909618378], 'elevation': 187.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Dessau Airport;51.831693541;;Germany;EDAD;;;;12.1909618378;;;;Europe/Berlin;public;Sachsen-Anhalt;;;Dessau (EDAD);DE;;;187.0;False;False;False;;;;;;;;;;;;;;;;;
;Eisenhuttenstadt;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [52.1972236633, 14.5855560303], 'elevation': 144.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Eisenhuttenstadt Airport;52.1972236633;;Germany;EDAE;;;;14.5855560303;;;;Europe/Berlin;public;Brandenburg;;;Eisenhuttenstadt (EDAE);DE;;;144.0;False;False;False;;;;;;;;;;;;;;;;;
;Marienberg;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.6441688538, 13.1263885498], 'elevation': 2198.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Grosruckerswalde Airport;50.6441688538;;Germany;EDAG;;;;13.1263885498;;;;Europe/Berlin;public;Saxony;;;Marienberg (EDAG);DE;;;2198.0;False;False;False;;;;;;;;;;;;;;;;;
;Heringsdorf;;HDF;1;;;Heringsdorf Arpt;[{'id': '10/28', 'dimension': '7562x115', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['10', '28'], 'length': 7562, 'width': '115', 'TORA': None, 'TODA': None, 'ASDA': '7562', 'LDA': None, '10': {'latlon': [53.891666666666666, 14.135277777777777], 'elevation': '77', 'heading': '102', 'displaced threshold': None}, '28': {'latlon': [53.8825, 14.169444444444444], 'elevation': '89', 'heading': '282', 'displaced threshold': None}, 'dimension2': ['7562 x 115 feet', '2305 x 35 meters'], 'slope': 0, 'properties': None}];Heringsdorf Airport;53.879;;Germany;EDAH;3;0.0;M;14.152;ARP;Intl;MV;Europe/Berlin;public;Mecklenburg-Vorpommern;0;645;Heringsdorf (EDAH);DE;;;94.0;True;True;True;;;;;;;;;;;;https://aviationweather.gov/api/data/airport?ids=EDAH&format=json;https://en.wikipedia.org/wiki/Heringsdorf_Airport;http://www.flughafen-heringsdorf.de/;https://geohack.toolforge.org/geohack.php?pagename=Heringsdorf_Airport&params=53_52_43_N_014_09_08_E_type:airport;https://upload.wikimedia.org/wikipedia/commons/a/af/Port_lotniczy_Heringsdorf.jpg;
;Neustadt;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [52.8266677856, 12.5419435501], 'elevation': 141.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Segeletz Airport;52.8266677856;;Germany;EDAI;;;;12.5419435501;;;;Europe/Berlin;public;Brandenburg;;;Neustadt (EDAI);DE;;;141.0;False;False;False;;;;;;;;;;;;;;;;;
;Gera;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.8816680908, 12.1358327866], 'elevation': 1014.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Gera-Leumnitz Airport;50.8816680908;;Germany;EDAJ;;;;12.1358327866;;;;Europe/Berlin;public;Thuringia;;;Gera (EDAJ);DE;;;1014.0;False;False;False;;;;;;;;;;;;;;;;;
;Grosenhain;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [51.3080558777, 13.5555562973], 'elevation': 417.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Grosenhain Airport;51.3080558777;;Germany;EDAK;;;;13.5555562973;;;;Europe/Berlin;public;Saxony;;;Grosenhain (EDAK);DE;;;417.0;False;False;False;;;;;;;;;;;;;;;;;
;Merseburg;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [51.363609314, 11.9483327866], 'elevation': 341.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Merseburg Airport;51.363609314;;Germany;EDAM;;;;11.9483327866;;;;Europe/Berlin;public;Sachsen-Anhalt;;;Merseburg (EDAM);DE;;;341.0;False;False;False;;;;;;;;;;;;;;;;;
