variable,group,value
Sun,37,1748.0
Sun,38,1504.0
Sun,39,2161.0
Sun,40,2024.0
Sun,41,2276.0
Sun,42,2158.0
Sun,43,1640.0
Sun,44,1966.0
Sun,45,2948.0
Sun,46,2383.0
Sun,47,3521.0
Sun,48,3285.0
Sun,49,2419.0
Sun,50,2522.0
Sun,51,2714.0
Sun,52,2422.0
Sun,1,2745.0
Sun,2,3015.0
Sun,3,2247.0
Sun,4,2446.0
Sun,5,2642.0
Sun,6,2828.0
Sun,7,4486.0
Sun,8,3333.0
Sun,9,5563.0
Sun,10,3499.0
Sun,12,11778.0
Sun,13,9407.0
Sun,14,9738.0
Sun,15,8577.0
Sun,16,11582.0
Sun,17,12733.0
Sun,18,10714.0
Sun,19,9925.0
Sun,20,12685.0
Sun,21,12149.0
Sun,22,8008.0
Sun,23,8856.0
Sun,24,10747.0
Sun,25,10030.0
Sun,26,9368.0
Sun,27,8209.0
Sun,28,9343.0
Sun,29,11954.0
Sun,30,10819.0
Sun,31,13164.0
Sun,32,10550.0
Sun,33,8530.0
Sun,34,10943.0
Sun,35,11301.0
Sun,36,13419.0
Sun,37,0.0
Sat,37,1626.0
Sat,38,1855.0
Sat,39,2720.0
Sat,40,2733.0
Sat,41,3681.0
Sat,42,2314.0
Sat,43,1942.0
Sat,44,1834.0
Sat,45,2554.0
Sat,46,2920.0
Sat,47,2493.0
Sat,48,3592.0
Sat,49,2504.0
Sat,50,3749.0
Sat,51,1990.0
Sat,52,2245.0
Sat,1,2726.0
Sat,2,2409.0
Sat,3,3027.0
Sat,4,3475.0
Sat,5,2960.0
Sat,6,2426.0
Sat,7,4612.0
Sat,8,3204.0
Sat,9,6182.0
Sat,10,2800.0
Sat,12,8947.0
Sat,13,10261.0
Sat,14,9090.0
Sat,15,8027.0
Sat,16,10558.0
Sat,17,14013.0
Sat,18,10155.0
Sat,19,11332.0
Sat,20,12948.0
Sat,21,12535.0
Sat,22,8517.0
Sat,23,10559.0
Sat,24,9858.0
Sat,25,9194.0
Sat,26,11292.0
Sat,27,7803.0
Sat,28,9658.0
Sat,29,11372.0
Sat,30,10209.0
Sat,31,13312.0
Sat,32,11497.0
Sat,33,9530.0
Sat,34,12140.0
Sat,35,13742.0
Sat,36,10265.0
Sat,37,10857.0
Fri,37,2793.0
Fri,38,2571.0
Fri,39,3493.0
Fri,40,3306.0
Fri,41,3704.0
Fri,42,4350.0
Fri,43,3084.0
Fri,44,3162.0
Fri,45,5042.0
Fri,46,4314.0
Fri,47,3000.0
Fri,48,5270.0
Fri,49,6054.0
Fri,50,5523.0
Fri,51,3903.0
Fri,52,4051.0
Fri,1,6930.0
Fri,2,3548.0
Fri,3,4956.0
Fri,4,4517.0
Fri,5,6684.0
Fri,6,4819.0
Fri,7,8274.0
Fri,8,8392.0
Fri,9,8836.0
Fri,10,7142.0
Fri,12,8358.0
Fri,13,11115.0
Fri,14,8235.0
Fri,15,9023.0
Fri,16,8180.0
Fri,17,10242.0
Fri,18,9798.0
Fri,19,11295.0
Fri,20,13618.0
Fri,21,10343.0
Fri,22,9408.0
Fri,23,10100.0
Fri,24,8016.0
Fri,25,9513.0
Fri,26,7598.0
Fri,27,6422.0
Fri,28,9671.0
Fri,29,9560.0
Fri,30,13286.0
Fri,31,13790.0
Fri,32,11043.0
Fri,33,9929.0
Fri,34,8742.0
Fri,35,8635.0
Fri,36,7897.0
Fri,37,9646.0
Thu,37,4724.0
Thu,38,3357.0
Thu,39,3629.0
Thu,40,3454.0
Thu,41,4601.0
Thu,42,3396.0
Thu,43,4068.0
Thu,44,3639.0
Thu,45,6698.0
Thu,46,4560.0
Thu,47,2827.0
Thu,48,5492.0
Thu,49,6432.0
Thu,50,3690.0
Thu,51,3326.0
Thu,52,3728.0
Thu,1,5476.0
Thu,2,4108.0
Thu,3,4060.0
Thu,4,4270.0
Thu,5,6305.0
Thu,6,5909.0
Thu,7,5184.0
Thu,8,8458.0
Thu,9,8399.0
Thu,10,11792.0
Thu,12,5834.0
Thu,13,4529.0
Thu,14,5207.0
Thu,15,5321.0
Thu,16,4278.0
Thu,17,5081.0
Thu,18,8621.0
