variable,group,value
benfordslaw,18,0.0
benfordslaw,19,67.0
benfordslaw,20,68.0
benfordslaw,21,100.0
benfordslaw,22,88.0
benfordslaw,23,114.0
benfordslaw,24,102.0
benfordslaw,25,113.0
benfordslaw,26,99.0
benfordslaw,27,67.0
benfordslaw,28,55.0
benfordslaw,29,76.0
benfordslaw,30,76.0
benfordslaw,31,66.0
benfordslaw,32,108.0
benfordslaw,33,174.0
benfordslaw,34,412.0
benfordslaw,35,264.0
benfordslaw,36,278.0
benfordslaw,37,184.0
benfordslaw,38,143.0
benfordslaw,39,536.0
benfordslaw,40,583.0
benfordslaw,41,374.0
benfordslaw,42,215.0
benfordslaw,43,171.0
benfordslaw,44,226.0
benfordslaw,45,182.0
benfordslaw,46,262.0
benfordslaw,53,143.0
benfordslaw,1,266.0
benfordslaw,2,398.0
benfordslaw,3,415.0
benfordslaw,4,206.0
benfordslaw,5,280.0
benfordslaw,6,440.0
benfordslaw,7,185.0
benfordslaw,8,257.0
benfordslaw,9,324.0
benfordslaw,10,238.0
benfordslaw,11,197.0
benfordslaw,12,263.0
benfordslaw,13,318.0
benfordslaw,14,334.0
benfordslaw,15,160.0
benfordslaw,16,249.0
benfordslaw,17,257.0
benfordslaw,18,169.0
benfordslaw,19,225.0
benfordslaw,20,201.0
benfordslaw,21,184.0
benfordslaw,22,190.0
benfordslaw,23,231.0
benfordslaw,24,178.0
benfordslaw,25,268.0
benfordslaw,26,304.0
benfordslaw,27,258.0
benfordslaw,28,343.0
benfordslaw,29,350.0
benfordslaw,30,328.0
benfordslaw,31,181.0
benfordslaw,32,343.0
benfordslaw,33,279.0
benfordslaw,34,228.0
benfordslaw,35,318.0
benfordslaw,36,207.0
benfordslaw,37,182.0
benfordslaw,38,354.0
benfordslaw,39,223.0
benfordslaw,40,256.0
benfordslaw,41,145.0
benfordslaw,42,731.0
benfordslaw,43,279.0
benfordslaw,44,343.0
benfordslaw,45,347.0
benfordslaw,46,358.0
benfordslaw,47,425.0
benfordslaw,48,481.0
benfordslaw,49,928.0
benfordslaw,50,514.0
benfordslaw,51,539.0
benfordslaw,52,428.0
benfordslaw,1,425.0
benfordslaw,2,456.0
benfordslaw,3,699.0
benfordslaw,4,624.0
benfordslaw,5,635.0
benfordslaw,6,1406.0
benfordslaw,7,730.0
benfordslaw,8,1016.0
benfordslaw,9,1229.0
benfordslaw,10,1534.0
benfordslaw,11,1013.0
bnclassify,18,0.0
bnclassify,19,0.0
bnclassify,20,0.0
bnclassify,21,0.0
bnclassify,22,0.0
bnclassify,23,0.0
bnclassify,24,0.0
bnclassify,25,0.0
bnclassify,26,0.0
bnclassify,27,0.0
bnclassify,28,0.0
bnclassify,29,0.0
bnclassify,30,0.0
bnclassify,31,0.0
bnclassify,32,0.0
bnclassify,33,0.0
bnclassify,34,0.0
bnclassify,35,0.0
bnclassify,36,0.0
bnclassify,37,0.0
bnclassify,38,0.0
bnclassify,39,0.0
bnclassify,40,0.0
bnclassify,41,0.0
bnclassify,42,0.0
bnclassify,43,0.0
bnclassify,44,0.0
bnclassify,45,0.0
bnclassify,46,0.0
bnclassify,53,0.0
bnclassify,1,0.0
bnclassify,2,0.0
bnclassify,3,0.0
bnclassify,4,0.0
bnclassify,5,0.0
bnclassify,6,0.0
bnclassify,7,0.0
bnclassify,8,0.0
bnclassify,9,0.0
bnclassify,10,0.0
bnclassify,11,0.0
bnclassify,12,0.0
bnclassify,13,0.0
bnclassify,14,0.0
bnclassify,15,0.0
bnclassify,16,0.0
bnclassify,17,0.0
bnclassify,18,0.0
bnclassify,19,0.0
bnclassify,20,0.0
bnclassify,21,0.0
bnclassify,22,0.0
bnclassify,23,0.0
bnclassify,24,0.0
bnclassify,25,0.0
bnclassify,26,0.0
bnclassify,27,0.0
bnclassify,28,0.0
bnclassify,29,0.0
bnclassify,30,0.0
bnclassify,31,0.0
bnclassify,32,0.0
bnclassify,33,0.0
bnclassify,34,0.0
bnclassify,35,0.0
bnclassify,36,0.0
bnclassify,37,0.0
bnclassify,38,0.0
bnclassify,39,0.0
bnclassify,40,0.0
bnclassify,41,0.0
bnclassify,42,0.0
bnclassify,43,0.0
bnclassify,44,0.0
bnclassify,45,0.0
bnclassify,46,0.0
bnclassify,47,0.0
bnclassify,48,0.0
bnclassify,49,0.0
bnclassify,50,0.0
bnclassify,51,0.0
bnclassify,52,0.0
bnclassify,1,0.0
bnclassify,2,0.0
bnclassify,3,0.0
bnclassify,4,0.0
bnclassify,5,0.0
bnclassify,6,0.0
bnclassify,7,0.0
bnclassify,8,0.0
bnclassify,9,331.0
bnclassify,10,151.0
bnclassify,11,58.0
bnlearn,18,0.0
bnlearn,19,439.0
bnlearn,20,521.0
bnlearn,21,500.0
bnlearn,22,1858.0
bnlearn,23,1172.0
bnlearn,24,869.0
bnlearn,25,599.0
bnlearn,26,668.0
bnlearn,27,442.0
bnlearn,28,407.0
bnlearn,29,456.0
bnlearn,30,1064.0
bnlearn,31,1218.0
bnlearn,32,771.0
bnlearn,33,780.0
bnlearn,34,636.0
bnlearn,35,920.0
bnlearn,36,1221.0
bnlearn,37,932.0
bnlearn,38,673.0
bnlearn,39,915.0
bnlearn,40,494.0
bnlearn,41,462.0
bnlearn,42,612.0
bnlearn,43,440.0
bnlearn,44,771.0
bnlearn,45,586.0
bnlearn,46,855.0
bnlearn,53,465.0
bnlearn,1,412.0
bnlearn,2,567.0
bnlearn,3,924.0
bnlearn,4,890.0
bnlearn,5,1881.0
bnlearn,6,2730.0
bnlearn,7,1948.0
bnlearn,8,1642.0
bnlearn,9,2272.0
bnlearn,10,2198.0
bnlearn,11,2452.0
bnlearn,12,2300.0
bnlearn,13,2444.0
bnlearn,14,2531.0
bnlearn,15,1492.0
bnlearn,16,2155.0
bnlearn,17,2284.0
bnlearn,18,2354.0
bnlearn,19,2996.0
bnlearn,20,2256.0
bnlearn,21,2740.0
bnlearn,22,3031.0
