variable,group,value
benfordslaw,19,38.0
benfordslaw,20,47.0
benfordslaw,21,105.0
benfordslaw,22,91.0
benfordslaw,23,86.0
benfordslaw,24,134.0
benfordslaw,25,100.0
benfordslaw,26,101.0
benfordslaw,27,93.0
benfordslaw,28,49.0
benfordslaw,29,67.0
benfordslaw,30,73.0
benfordslaw,31,72.0
benfordslaw,32,70.0
benfordslaw,33,166.0
benfordslaw,34,401.0
benfordslaw,35,262.0
benfordslaw,36,281.0
benfordslaw,37,219.0
benfordslaw,38,137.0
benfordslaw,39,367.0
benfordslaw,40,713.0
benfordslaw,41,379.0
benfordslaw,42,178.0
benfordslaw,43,243.0
benfordslaw,44,199.0
benfordslaw,45,203.0
benfordslaw,46,255.0
benfordslaw,47,188.0
benfordslaw,53,111.0
benfordslaw,1,463.0
benfordslaw,2,382.0
benfordslaw,3,274.0
benfordslaw,4,215.0
benfordslaw,5,483.0
benfordslaw,6,210.0
benfordslaw,7,215.0
benfordslaw,8,317.0
benfordslaw,9,260.0
benfordslaw,10,241.0
benfordslaw,11,236.0
benfordslaw,12,337.0
benfordslaw,13,304.0
benfordslaw,14,184.0
benfordslaw,15,277.0
benfordslaw,16,192.0
benfordslaw,17,239.0
benfordslaw,18,197.0
benfordslaw,19,233.0
benfordslaw,20,151.0
benfordslaw,21,186.0
benfordslaw,22,235.0
benfordslaw,23,175.0
benfordslaw,24,303.0
benfordslaw,25,157.0
bnlearn,19,238.0
bnlearn,20,432.0
bnlearn,21,553.0
bnlearn,22,990.0
bnlearn,23,1809.0
bnlearn,24,1004.0
bnlearn,25,598.0
bnlearn,26,647.0
bnlearn,27,619.0
bnlearn,28,358.0
bnlearn,29,422.0
bnlearn,30,711.0
bnlearn,31,1382.0
bnlearn,32,791.0
bnlearn,33,843.0
bnlearn,34,657.0
bnlearn,35,752.0
bnlearn,36,1224.0
bnlearn,37,1041.0
bnlearn,38,814.0
bnlearn,39,938.0
bnlearn,40,502.0
bnlearn,41,361.0
bnlearn,42,508.0
bnlearn,43,715.0
bnlearn,44,544.0
bnlearn,45,743.0
bnlearn,46,814.0
bnlearn,47,646.0
bnlearn,53,302.0
bnlearn,1,565.0
bnlearn,2,824.0
